,x,y,hue,year
0,4.76284828070278,1.9501257546668522,4,1987
1,-2.7436483742744633,-0.608431913503183,5,1987
2,-2.6630764282298194,-8.994873143059735,5,1988
3,-4.377524526811752,0.29756593817205546,3,1994
4,6.76186683552012,-3.7524599096856277,1,1994
5,4.020155168850556,-0.22577639748379427,4,1994
6,8.533708932091988,-4.353213465310798,1,1994
7,9.431337360916835,1.9925142368401663,1,1994
8,10.411744234894396,-0.6240901171614294,1,1994
9,9.799584745977553,1.2267376235699732,1,1994
10,10.665620618782297,-0.49884936451032375,1,1994
11,-3.3642831133508997,1.4808992046383544,6,1994
12,10.94297484555839,-3.682066777576911,1,1994
13,9.248179866527312,-3.90392782837552,1,1988
14,1.8845627527776956,4.600046349167912,5,1994
15,3.8504023049777456,-2.900141786800393,7,1994
16,-2.4250711598934536,1.2114296547408996,6,1994
17,-3.7998480348241026,-8.397479890621835,5,1994
18,1.9154823197284092,6.724287173679951,5,1994
19,10.136605261017168,-1.8433989021314756,1,1994
20,6.042839598506109,-3.7648407448032373,1,1994
21,-0.9084841485244871,3.9677991045662875,3,1994
22,5.539744491015773,9.913029837764668,2,1994
23,-7.342704069611099,0.8599000639524632,3,1994
24,3.332868525269116,4.746491118880497,5,1988
25,3.6651919980336123,4.445809598353036,5,1994
26,8.402638780376618,2.215519994526895,1,1995
27,4.9597446455610985,-5.745094498533767,0,1995
28,-2.207883959951812,-9.970119592465606,5,1995
29,-2.6563233002742948,-0.5161780105740185,5,1995
30,2.1920292468652796,5.629617246225943,5,1995
31,3.8747935159185,5.3333842948742305,5,1995
32,-4.419894994167037,1.1342991173033496,1,1995
33,5.066800844669162,-5.585837415662594,0,1995
34,5.877626258037455,-2.2000570995993503,1,1995
35,8.488959763285484,-4.373794924012383,1,1988
36,2.2758947457454313,6.05994160236702,5,1995
37,8.476440220949646,-4.260438990589088,1,1995
38,2.6272533267003024,6.50607455129633,4,1995
39,6.809796502421133,1.271586639212987,1,1995
40,5.090197730578764,-3.5253866489512915,7,1995
41,1.75018859269543,6.718898338222601,5,1995
42,-8.611344046596816,2.3720934168857815,3,1995
43,8.344356082365449,3.0852532238008625,1,1995
44,9.307074866604546,5.844154716830685,2,1995
45,6.113927152337604,-1.6154690789166917,1,1995
46,4.16620560255276,0.34739402415921145,4,1988
47,-0.7358963883209044,3.477187958389135,3,1995
48,-0.028545576097583274,-3.616560696494108,4,1995
49,6.381245522720604,7.981071547331344,2,1995
50,8.00014198505688,0.06349514851433952,1,1995
51,5.7630170908579155,-3.8728725203955707,1,1995
52,-0.36634959729127725,4.692710066738385,4,1995
53,1.8621767613861193,4.620204503130536,5,1995
54,0.09273956288296223,7.302059156587048,4,1995
55,-6.112528740223072,0.9546573302150158,3,1995
56,6.386446614043691,3.1378090266497494,5,1995
57,9.588141669935194,1.1406649999685745,1,1988
58,-3.2759201281465775,-1.6963683230768791,3,1995
59,8.672841748549176,-0.5807893087843005,1,1995
60,-5.791856738878959,7.059263140543931,6,1995
61,-2.5593766201575647,-0.8653213373346046,5,1995
62,2.136716543157192,-4.132305023532944,0,1995
63,1.9769059159993343,7.046334504716922,5,1995
64,10.51397484162024,-2.186072951569761,1,1995
65,6.571130977237428,5.248081620578837,5,1995
66,4.001465636638841,-2.673474814160511,1,1995
67,-4.556151945849691,-5.2582427733741355,7,1995
68,9.313661983939548,-2.152249618577592,1,1988
69,5.845782000997914,-3.550523443455792,1,1995
70,5.338098529364918,-5.932672991128924,0,1995
71,9.924346443798958,-0.8344439730789618,1,1995
72,-6.414039515816438,3.789124985010496,3,1995
73,-6.254135627122733,-5.576568872705801,7,1995
74,-4.381961329726513,0.4618552171956822,3,1995
75,7.4156593018861585,0.2735128749927625,1,1995
76,9.598406469233097,-1.1637820183296959,1,1995
77,2.5357674628127174,6.323781204768925,4,1995
